name,team,match_type_number,venue
Sharjeel Khan,Pakistan,568,Dubai International Cricket Stadium
Khalid Latif,Pakistan,568,Dubai International Cricket Stadium
Babar Azam,Pakistan,568,Dubai International Cricket Stadium
Shoaib Malik,Pakistan,568,Dubai International Cricket Stadium
Umar Akmal,Pakistan,568,Dubai International Cricket Stadium
Sarfraz Ahmed,Pakistan,568,Dubai International Cricket Stadium
Mohammad Nawaz (3),Pakistan,568,Dubai International Cricket Stadium
Imad Wasim,Pakistan,568,Dubai International Cricket Stadium
Wahab Riaz,Pakistan,568,Dubai International Cricket Stadium
Sohail Tanvir,Pakistan,568,Dubai International Cricket Stadium
Hasan Ali,Pakistan,568,Dubai International Cricket Stadium
J Charles,West Indies,568,Dubai International Cricket Stadium
E Lewis,West Indies,568,Dubai International Cricket Stadium
ADS Fletcher,West Indies,568,Dubai International Cricket Stadium
MN Samuels,West Indies,568,Dubai International Cricket Stadium
DJ Bravo,West Indies,568,Dubai International Cricket Stadium
N Pooran,West Indies,568,Dubai International Cricket Stadium
KA Pollard,West Indies,568,Dubai International Cricket Stadium
CR Brathwaite,West Indies,568,Dubai International Cricket Stadium
SP Narine,West Indies,568,Dubai International Cricket Stadium
JE Taylor,West Indies,568,Dubai International Cricket Stadium
S Badree,West Indies,568,Dubai International Cricket Stadium
Sharjeel Khan,Pakistan,569,Dubai International Cricket Stadium
Khalid Latif,Pakistan,569,Dubai International Cricket Stadium
Babar Azam,Pakistan,569,Dubai International Cricket Stadium
Shoaib Malik,Pakistan,569,Dubai International Cricket Stadium
Sarfraz Ahmed,Pakistan,569,Dubai International Cricket Stadium
Umar Akmal,Pakistan,569,Dubai International Cricket Stadium
Mohammad Nawaz (3),Pakistan,569,Dubai International Cricket Stadium
Imad Wasim,Pakistan,569,Dubai International Cricket Stadium
Wahab Riaz,Pakistan,569,Dubai International Cricket Stadium
Sohail Tanvir,Pakistan,569,Dubai International Cricket Stadium
Hasan Ali,Pakistan,569,Dubai International Cricket Stadium
J Charles,West Indies,569,Dubai International Cricket Stadium
E Lewis,West Indies,569,Dubai International Cricket Stadium
ADS Fletcher,West Indies,569,Dubai International Cricket Stadium
MN Samuels,West Indies,569,Dubai International Cricket Stadium
DJ Bravo,West Indies,569,Dubai International Cricket Stadium
KA Pollard,West Indies,569,Dubai International Cricket Stadium
CR Brathwaite,West Indies,569,Dubai International Cricket Stadium
N Pooran,West Indies,569,Dubai International Cricket Stadium
SP Narine,West Indies,569,Dubai International Cricket Stadium
JE Taylor,West Indies,569,Dubai International Cricket Stadium
S Badree,West Indies,569,Dubai International Cricket Stadium
Sharjeel Khan,Pakistan,570,Sheikh Zayed Stadium
Khalid Latif,Pakistan,570,Sheikh Zayed Stadium
Babar Azam,Pakistan,570,Sheikh Zayed Stadium
Shoaib Malik,Pakistan,570,Sheikh Zayed Stadium
Umar Akmal,Pakistan,570,Sheikh Zayed Stadium
Sarfraz Ahmed,Pakistan,570,Sheikh Zayed Stadium
Mohammad Nawaz (3),Pakistan,570,Sheikh Zayed Stadium
Imad Wasim,Pakistan,570,Sheikh Zayed Stadium
Sohail Tanvir,Pakistan,570,Sheikh Zayed Stadium
Mohammad Amir,Pakistan,570,Sheikh Zayed Stadium
Rumman Raees,Pakistan,570,Sheikh Zayed Stadium
J Charles,West Indies,570,Sheikh Zayed Stadium
ADS Fletcher,West Indies,570,Sheikh Zayed Stadium
CAK Walton,West Indies,570,Sheikh Zayed Stadium
MN Samuels,West Indies,570,Sheikh Zayed Stadium
DJ Bravo,West Indies,570,Sheikh Zayed Stadium
N Pooran,West Indies,570,Sheikh Zayed Stadium
KA Pollard,West Indies,570,Sheikh Zayed Stadium
CR Brathwaite,West Indies,570,Sheikh Zayed Stadium
SP Narine,West Indies,570,Sheikh Zayed Stadium
JE Taylor,West Indies,570,Sheikh Zayed Stadium
KOK Williams,West Indies,570,Sheikh Zayed Stadium
Kamran Akmal,Pakistan,602,"Kensington Oval, Bridgetown"
